ptsMs,latencyMs,frameType
80125,23240,P
80166,23247,B
80208,23239,B
80250,23244,B
80291,23242,P
80333,23239,B
80375,23247,B
80416,23245,B
80458,23242,P
80500,23241,B
80541,23523,B
80583,23522,P
80625,23524,I
80666,23523,B
80708,23528,B
80750,23527,B
80791,23525,P
80833,23523,B
80875,23531,B
80916,23528,B
80958,23527,P
81000,23526,B
81041,23532,B
81083,23530,B
81125,23528,P
81166,23849,B
81208,23852,P
81250,23851,I
81291,23858,B
81333,23856,B
81375,23855,B
81416,23852,P
81458,23850,B
81500,23858,B
81541,23856,B
81583,23854,P
81625,23853,B
81666,23851,B
81708,23857,B
81750,23855,P
81791,24069,B
81833,24069,P
81875,24074,I
81916,24068,B
81958,24070,B
82000,24068,B
82041,24076,P
82083,24074,B
82125,24073,B
82166,24071,B
82208,24077,P
82250,24076,B
82291,24074,B
82333,24072,B
82375,24070,P
82416,24290,B
82458,24289,P
82500,24298,I
82541,24296,B
82583,24293,B
82625,24290,B
82666,24289,P
82708,24289,B
82750,24295,B
82791,24293,B
82833,24291,P
82875,24298,B
82916,24297,B
82958,24294,B
83000,24294,P
83041,24490,B
83083,24491,P
83125,24497,I
83166,24491,B
83208,24492,B
83250,24491,B
83291,24498,P
83333,24495,B
83375,24495,B
83416,24492,B
83458,24499,P
83500,24498,P
83541,24496,P
83583,24494,P
83625,24492,P
83666,24733,P
83708,24733,P
83750,24735,I
83791,24734,B
83833,24740,B
83875,24738,B
83916,24736,P
83958,24734,B
84000,24742,B
84041,24739,B
84083,24738,P
84125,24736,B
84166,24734,P
84208,24740,B
84250,24740,P
84291,24917,B
84333,24920,P
84375,24918,I
