at,ptsMs,payloadSizeBytes,frameType
72006,71916,197,B
72006,72000,166,B
72183,72208,6851,P
72183,72125,451,B
72231,72083,385,B
72232,72166,174,B
75293,75000,14102,I
75441,75041,3632,P
75588,75083,3647,P
87615,87500,20454,I
87667,87541,2710,P
87716,87583,2467,P
87791,87625,2774,P
88280,88125,20794,I
88364,88166,3406,P
88849,88750,21305,I
88905,88875,3152,P
88930,88791,444,B
88930,88833,295,B
88979,88958,2618,P
89004,88916,417,B
89053,89000,2800,P
89834,90000,11399,I
89859,90041,736,P
89887,90083,1460,P
89939,90125,1925,P
89963,90166,1565,P
90015,90208,1793,P
90042,90250,1027,P
90043,90291,928,P
90115,90333,2450,P
90140,90375,2246,P
90214,90416,3145,P
90787,90625,23570,I
90812,90666,1715,P
90835,90708,1423,P
90886,90750,1658,P
90911,90791,2006,P
90936,90833,1184,P
91451,91250,22911,I
91452,91291,531,P
91481,91333,556,P
91481,91375,369,P
91942,91875,20385,I
91967,91916,1096,P
91999,91958,1148,P
92025,92000,1250,P
92050,92041,1690,P
92100,92083,1449,P
92124,92250,1311,P
92124,92166,304,B
92124,92125,300,B
92149,92208,202,B
92175,92333,1139,P
92175,92291,294,B
92663,92500,20709,I
92747,92666,3615,P
92771,92583,438,B
92771,92541,275,B
92771,92625,153,B
93260,93125,20901,I
93335,93166,3272,P
93853,93750,20981,I
93932,93875,3480,P
93956,93791,444,B
93956,93833,153,B
94057,94041,5240,P
94081,93958,491,B
94081,93916,433,B
94081,94000,181,B
94548,94375,20723,I
95062,95000,20501,I
95118,95041,2241,P
95147,95083,1461,P
95172,95125,1321,P
95195,95166,1259,P
95220,95208,1100,P
95245,95250,1017,P
95270,95291,1203,P
95295,95333,1051,P
95320,95375,1163,P
95345,95416,1085,P
95865,95625,22369,I
96355,96250,21863,I
96408,96291,2659,P
96483,96333,2475,P
96533,96416,2541,P
96533,96375,683,B
97048,96875,20671,I
97594,97500,21504,I
97645,97541,2945,P
97719,97583,2674,P
97769,97708,3247,P
98263,98125,22223,I
98340,98291,2712,P
98340,98208,547,B
98365,98166,482,B
98365,98250,376,B
98957,98750,21300,I
99036,98916,3730,P
99036,98833,625,B
99526,99375,21417,I
99551,99500,913,P
99551,99416,411,B
99552,99458,329,B
99576,99666,415,P
99576,99583,340,B
99576,99541,322,B
99604,99625,324,B
99892,100000,10427,I
99915,100041,721,P
99943,100125,1179,P
99943,100083,241,B
100019,100291,3561,P
100046,100208,447,B
100046,100166,308,B
100046,100250,189,B
100196,100375,6666,P
100197,100333,308,B
100787,100625,21482,I
100845,100750,2027,P
100846,100666,422,B
100846,100708,291,B
101359,101250,21423,I
101385,101375,1796,P
101409,101291,437,B
101409,101333,226,B
101510,101541,4862,P
102001,101875,21159,I
102081,102000,3972,P
102104,101916,1151,B
102130,101958,830,B
102181,102083,4243,P
102528,102500,22445,I
102578,102583,3400,P
102579,102541,379,B
102628,102625,3676,P
102684,102666,3886,P
102732,102833,3508,P
102749,102750,547,B
102750,102708,410,B
102750,102791,210,B
103092,103125,20302,I
103148,103208,3367,P
103148,103166,396,B
103213,103250,4048,P
103246,103291,3001,P
103303,103333,2922,P
103336,103500,3145,P
103353,103416,469,B
103353,103375,370,B
103353,103458,185,B
103419,103666,4894,P
103436,103583,534,B
103436,103541,454,B
103456,103625,216,B
103456,103708,560,P
103475,103000,3534,P
103491,102916,540,B
103491,102875,416,B
103491,102958,231,B
103558,103083,4399,P
103558,103041,525,B
103575,102041,424,B
103610,102125,3011,P
103954,103750,21685,I
103973,103916,763,P
103973,103833,440,B
103973,103791,235,B
103973,103875,194,B
104298,104375,19665,I
104333,104416,1625,P
104350,104458,1170,P
104366,104500,1417,P
104383,104541,1819,P
104418,104583,1950,P
104453,104625,1807,P
104470,104666,1896,P
104504,104708,1873,P
104538,104750,1926,P
104555,104791,1917,P
104591,104833,2100,P
104933,105000,22070,I
104987,105041,3215,P
105020,105083,2071,P
105053,105125,2120,P
105069,105166,2057,P
105105,105208,2025,P
105140,105250,1927,P
105175,105291,2046,P
105208,105333,2173,P
105226,105375,2291,P
105569,105625,21888,I
105619,105666,3114,P
105655,105708,3016,P
105707,105750,2578,P
105741,105791,2269,P
105758,105833,2048,P
105793,105875,2175,P
105828,105916,2544,P
106154,106250,19094,I
106188,106291,2639,P
106221,106333,2367,P
106259,106375,2620,P
106310,106500,3527,P
106342,106416,1339,B
106359,106458,1238,B
